# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
Feelings Wheel,,"A graphical respresentation of different emotional words, which can be used to name or describe a current feeling.","general, mental health",,thriv.life/FeelWheel,https://www.uwlax.edu/globalassets/offices-services/counseling/the-gottman-institute_the-feeling-wheel.pdf
#Feelmo,,An iOS app to help understand and identify feelings and practice grounding and journaling.,"app, general, mental health",,thriv.life/Feelmo,https://www.feelmo.com/
Fighting Eating Disorders in Underrepresented Populations (formerly Trans Folx Fighting Eating Disorders),,List of trans-competent providers and support groups for transgender and gender-diverse people fighting eating disorders. Also offers training resources for healthcare providers.,"LGBTQ, mental health, disordered eating",,thriv.life/TransFolx-ED,https://fedupcollective.org/resources
Finch,,An app (Android and iOS) with an emotional support companion to make daily self care fun!,"app, general, mental health",,thriv.life/Finch,https://www.finchcare.com/
Find a Helpline,,"Directory of over 1,600 hotline services across the world.","general, hotline",interational,thriv.life/FAH,https://findahelpline.com/
Find a Welcoming Congregation,,A directory for finding religious communities that are welcoming of people with LGBTQ+ identities.,"LGBTQ, religion",,thriv.life/WelcDir,http://www.welcomingresources.org/directory.htm
Find Help,,"Search for free or reduced cost services like medical care, food, job training, and more. Formerly known as Aunt Bertha.",general,,thriv.life/FindHelp,https://www.findhelp.org
Find Treatment,,A US government website for locating treatment facilities for mental health and substance use disorders.,"health, mental health, substance use",,thriv.life/FindTreatment,https://findtreatment.gov/
Finding Help for Someone Else,,Resource guide for people who are looking for mental health help for someone else.,"mental health, education",,thriv.life/Help4Some1,https://www.mentalhealthamerica.net/im-looking-mental-health-help-someone-else
Firefox Epilepsy Blocker,,A Firefox browser extension that alters webpages to block GIFs that may induce a seizure in people with epilepsy.,"general, health, disability",,thriv.life/FFEpB,https://addons.mozilla.org/en-US/firefox/addon/epilepsy-blocker/
Fireside Project,"Call or text <a href=""tel:+1623-473-7433"">1.62.FIRESIDE (3473.7433)</a>",Psychedelic peer support line. They provide emotional support during and after psychedelic experiences. Open everyday from 11:00 am - 11:00 pm PT.,"mental health, substance use, support, hotline",,thriv.life/FiresideProj,https://firesideproject.org/
Fireweed Collective,,Offers free monthly support groups as well as crisis resources. Groups for: BIPOC; survivors of sexual violence; BIPOC / Latinx healing poetry; Black people leaning into media and creativity; disabled / chronically ill / neurodiverse folks; and BIPOC disabled / chronically ill / neurodiverse folks.,"Black, Latinx, disability,neurodivergence, support",,thriv.life/Fireweed,https://fireweedcollective.org/support-groups/
FluidAF,,"A social support group for nonbinary gender queer, gender fluid, and other individuals who identify outside of the gender binary. Zoom meetings hosted on the third Monday of each month.","LGBTQ, gender identity, support",,thriv.life/FluidAF,https://www.facebook.com/events/186367546531084/?event_time_id=186367553197750
Ford Fellowship,,"A fellowship program aimed at increasing diversity at the faculty-level. Awards are at the pre-doctoral, dissertation, and post-doctoral stages.","STEMM, funding",,thriv.life/FordFellow,https://sites.nationalacademies.org/PGA/FordFellowships/index.htm
FORGE,,"FORGE has several resources for trans people. One is an extensive guide on accessing therapy, along with some other PDFs and videos. Topics include self-help, SA, health, shelter, and more.","LGBTQ, gender identity, education",,thriv.life/FORGE,https://forge-forward.org/resources/trans-communities-2/
For the Gworls,,"Black, trans-led collective that curates parties to fundraise money to help Black transgender people pay for their rent, gender-affirming surgeries, smaller co-pays for medicines/doctor‚Äôs visits, and travel assistance.","Black, LGBTQ, gender identity, funding",,thriv.life/FTGworls,https://www.forthegworls.party/home
Free Dental Care,,A database of free and sliding scale dental resources.,health,,thriv.life/FreeDental,https://www.freedentalcare.us/
"FRIENDS, Inc. Safety Plan",,"Safety planning templates for violent incidents, abusive relationships, current residence, children, court, and more.","mental health, coping",,,https://www.friendswi.org/education/safety-plan/
FTM Surgery Guide,,Directory of surgeons and describes differences between surgical procedures for trans masculine folks.,"LGBTQ, gender identity, health, providers",,thriv.life/FTMSurgery,https://www.ftmsurgery.net/
Fucking Trans Women Zine,,A very explicit 80 page resource on sexual exploration for trans feminine people and their partners. This zine describes the practice of muffing.,"LGBTQ, gender identity, sexual health",,thriv.life/FTWZine,https://archive.org/details/fucking-trans-women-mira-bellwether-october-2010.cleaned
Future Docs with Disabilities Mentoring Program,,Rolling mentorship program for people with disabilities wanting to become physicians.,"disability, education, mentoring",,thriv.life/DisabledDocs,https://twitter.com/disabled_docs/status/1292452047204290560?s=10
Gay Church,,A list of LGBTQ+ affirming churches and sermons and information about inclusive Christianity.,"LGBTQ, religion",,thriv.life/GayChurch,https://www.gaychurch.org/
Gaylesta,,"A directory for finding LGBTQ+-competent therapists, with an option to search for telehealth.","LGBTQ, mental health, providers",,thriv.life/Gaylesta,https://directory.gaylesta.org/find-a-therapist/
GenderBands,,"Annual surgery and HRT grant program for trans people with solicitations in both English and Spanish. Currently has online support gatherings for trans youth, trans people 18+, trans people 40+, and parents of trans kids.","LGBTQ, gender identity, health, aid, parent",Español,thriv.life/GenderBands,https://www.genderbands.org/
Genderful Podcast Discord,,"A Discord for the Genderful podcase, where diverse (nonbinary and trans+) folks discuss various topics and special interests. ","LGBTQ, gender identity, support",,thriv.life/GenderfulDisc,https://discord.com/invite/TUUQ8DD
Gender Construction Kit,,"A guide for gender transition in the UK with information updating documents, medical transition, and changing or modifying certain physical attributes.","LGBTQ, gender identity, legal",UK,thriv.life/GenderKit,https://genderkit.org.uk/
Gender GP,,"An online health service that supports the UK trans community through HRT, counselling, and transition letters. All prices for services are clearly listed.","LGBTQ, gender identity, health",UK,thriv.life/GenderGP,https://www.gendergp.com/help-centre/gendergp-service-costs/
Gender Spectrum,,"A comprehensive collection of research, resources, and stories to help any parent, family member, or guardian learn more about gender diversity.","LGBTQ, gender identity, education",,thriv.life/GenderSpectrum,https://www.genderspectrum.org/resources/parenting-and-family-2/
Get Internet,,The Affordable Connectivity Program allows qualifying low-income households to get internet service at a reduced rate.,general,,thriv.life/ACP,http://getinternet.gov
Gingerbread,,"UK charity for single parent families providing advice and support, as well as an online forum.","general, support, parent",UK,thriv.life/Gingerbread,https://www.gingerbread.org.uk/
GLAAD Media Reference Guide,,"Information for reporting on and supporting people, including LGBTQ+ terms, information on current issues, and more. Web-based version has a link to a PDF version.","LGBTQ, education",,thriv.life/GLAAD-Media,https://www.glaad.org/reference#guide
GLAAD Resource List,,"LGBTQIA+ resource list classified by various topics, including: politics, sexual orientation, gender identity, military, legal, etc.","LGBTQ, general",,thriv.life/GLAAD-Res,https://www.glaad.org/resourcelist
Glean,,"A note-taking tool that can combine slides, audio recordings, and text in one place. Offers a free, unlimited access trial, and includes pricing information in their FAQ.","disability, education",,thriv.life/Glean,https://glean.co/
Glimmer,,"A safe and empowering online space for womxn, QTBIPOC+, and LGBTQIA+ communities.","Black, LGBTQ, Indigenous, support, PoC",,thriv.life/Glimmer,https://weglimmer.com/#/
Global and Regional Autism Spectrum Partnership (GRASP),,GRASP offers both virtual and regional in-person support groups for autistic and neurodivergent people. Steps for membership are outlined on their site.,"neurodivergence, support",,thriv.life/GRASP,https://grasp.org/membershipsupportgroups/
Goblin Tools,,"An app (Android and iOS) as well as a website that can break down tasks into steps using AI, for anyone who struggles with multi-step tasks or breaking down tasks. For example, you can ask Goblin Tools the steps for ‚Äúchanging the sheets on your bed‚Äù and choose how detailed you need the breakdown to be and Goblin Tools will return a step by step checklist of what to do, and also gives the option to break any single step down further into more detailed sub steps. The app and website are fully free. Note: level of detail is referred to as ""spiciness.""","general, app, coping, neurodivergence",,thriv.life/GoblinTools,https://goblin.tools/
<i>Good and Cheap</i> Cookbook,,A free PDF cookbook for eating well on less than $4 per day.,general,,thriv.life/GoodCheapBook,https://cookbooks.leannebrown.com/good-and-cheap.pdf
GoodRx,,"Prescription prices, coupons, and pharmacy information.",general,,thriv.life/GoodRx,https://www.goodrx.com/
Google Chrome Deadname Remover Extension,,A Google Chrome browser extension that alters webpages to mask a former name/dead name.,"LGBTQ, gender identity",,thriv.life/GC-DeadnameExt,https://chrome.google.com/webstore/detail/deadname-remover/cceilgmnkeijahkehfcgfalepihfbcag
Grad Write Slack,,"An virtual writing group for graduate students and post-doctoral students. The community also has discussions on mental health, self-care, motivation, goal setting, and accountability.","STEMM, education",,thriv.life/GradWriteSlack,https://gradwritingslack.wixsite.com/gradwriteslack
Graduate Student Funding Opportunities,,A list of fellowships maintained by Johns Hopkins and includes deadlines and eligibility. ,"education, funding",,thriv.life/GradFunding,https://research.jhu.edu/rdt/funding-opportunities/graduate/
Grief in Common,,An online community for those grieving to connect through forums. Also offers courses for managing grief.,"grief, support",,thriv.life/GIC,https://www.griefincommon.com/
GriefShare,,A directory of in-person support groups for people grieving the death of a family member or friend.,"grief, support",,thriv.life/GriefShare,https://www.griefshare.org/
GRE Exit List (GRExit),,A list of STEM graduate programs choosing not to require GRE scores for admission.,"STEMM, education",,thriv.life/GRExit,https://beyondthegre.org/grexit/
Guide to Allyship,,An open-source guide to being an ally to any community.,"LGBTQ, education",,thriv.life/Guide2Allyship,https://guidetoallyship.com/
Habitica,,"A free habit-forming and productivity app (web, Android, and iOS) that gamifies tasks. Also offers paid group plans with pricing information listed on their website.","general, coping",,thriv.life/Habitica,https://habitica.com/static/home
Harm Reduction Guide to Coming off Psychiatric Drugs,,A PDF guide about reducing harm when stopping or tapering psychiatric medications.,"mental health, substance use, harm reduction",,thriv.life/HRPsychDrugs,http://www.willhall.net/files/ComingOffPsychDrugsHarmReductGuide2Edonline.pdf
HealGrief,,Social support network and resources for processing grief and honoring loved ones and pets.,"mental health, grief, pet",,thriv.life/HealGrief,https://healgrief.org/#
Healing-Centered Resources for Those Impacted by Violence in Palestine/Israel,,A Google Doc resources list with support groups and resistance networks.,"mental health, support",,,https://tinyurl.com/resourcespi
Health Resources & Services Administration,,"A government agency that aims to help people find nearby health centers as well as provide grants, loans, and scholarships for those aspiring to work in the healthcare field.","health, funding",,thriv.life/HRSA,https://www.hrsa.gov/
Healthcare: Know Your Rights,,Information on insurance coverage and discrimination for transition-related care.,"LGBTQ, gender identity, health",,thriv.life/TE-Healthcare,https://transequality.org/know-your-rights/healthcare
Healthy Sleep,,Evidence-based information on getting healthy sleep.,"mental health, health",,thriv.life/HealthySleep,http://healthysleep.med.harvard.edu/healthy/
Hear Me,,"A peer support 24/7/365 mobile and web-app. Membership fees are clearly marked. Subscribers can talk to ""Listeners"" anytime, for as long desired.","app, general, mental health",,,https://www.hearme.app/who-we-serve/hearme-for-individuals
Hearing Voices Coping Strategies,,"A resource with suggestions for coping with the experiences of hearing voices, and seeing visions and having tactile sensations, compiled by the Manchester Hearing Voices Group.","mental health, coping, psychosis",,thriv.life/HVCoping,https://static1.squarespace.com/static/5ebe13ab85b30366d31ce462/t/6448befe4ff9f163e953b364/1682489087146/Hearing_Voices_Coping_Strategies_web.pdf
Hearing Voices Network,,"Organization by and for people who hear voices, see visions, or have other similar experiences. The offer in-person and virtual support groups. ","mental health, support, psychosis",UK,thriv.life/HVNUK,https://www.hearing-voices.org/
Hearing Voices Network USA,,"Organization by and for people who hear voices, see visions, or have other similar experiences. The offer in-person and virtual support groups. ","mental health, support, psychosis",,thriv.life/HVNUSA,http://www.hearingvoicesusa.org/
HelpGuide,,"Evidence-based self-help articles on a variety of topics including communication, mental health, relationships, family, aging, and wellness.","general, mental health",,thriv.life/HelpGuide,https://www.helpguide.org/
Help with Bills,,Information about government programs for temporary assistance.,COVID-19,,thriv.life/Help-w-Bills,https://www.usa.gov/help-with-bills
Help with Taxes,,Information for free assistance with US tax return preparation.,general,,thriv.life/Help-w-Taxes,https://www.usa.gov/help-with-taxes
Hemingway Editor,,Website and desktop app that offers suggestions for improving language and writing and assesses the reading level of written works.,education,,thriv.life/HemingwayEditor,http://www.hemingwayapp.com/
Hero Journey Club,,"A group mental health and psychoeducation provider organization. There is a weekly cost for 90-minute sessions ($30 as of April 2023), which occur through soothing online game like Minecraft, ACNH, Stardew Valley, etc.","mental health, support",,thriv.life/HJC,https://www.herojourney.club/
HHS Formula Resources,,Information about accessing formula and alternatives during the shortage.,general,,thriv.life/Formula,https://www.hhs.gov/formula/index.html
Hidayah,,"Inclusive, secular UK-based organization supporting LGBTQI+ Muslims and promoting social justice.","LGBTQ, religion",UK,thriv.life/Hidayah,https://www.hidayahlgbt.com/
Hiki,,A dating and friendship app (Android and iOS) for autistic people.,"app, neurodivergence, relationships",,thriv.life/Hiki,https://www.hikiapp.com/
HIV Nightline Crisis Line,"<a href=""tel:+1800-628-9240"">1.800.628.9240</a>","A 24/7 hotline aimed at providing emotional support for people after testing positive, living with HIV/AIDS, or with ask questions about HIV transmission risks.","health, HIV",,thriv.life/HIVNCL,https://www.sfsuicide.org/hotlines/
HIV Risk Reduction Tool,,Information on behaviors that increase or decrease HIV transmission risk.,"LGBTQ, health, HIV",,thriv.life/HIV-Risk,https://wwwn.cdc.gov/hivrisk/
HIV.gov,,"Government resource that provides HIV resources, programs and federal policies to the American public.","health, HIV",,thriv.life/HIV,https://www.hiv.gov/
Holiday Self-Care Tips for LGBTQ+ People,,Six self-care tips for LGBTQ+ people during the winter months.,"LGBTQ, mental health, coping",,thriv.life/HolidayLGBTQ,https://www.bustle.com/p/6-ways-queer-people-can-practice-self-care-over-the-holidays-26009
Hollaback,,"A global, people-powered movement to end harassment. They have resources and help guides for intervening during and recovering from harassment on the street, online, and in the workplace.","general, coping",,thriv.life/Hollaback,https://www.ihollaback.org/resources/
Homeless Shelter Directory,,A resource to help locate local homeless shelters and service organizations.,"general, housing",,thriv.life/HomelessShelters,https://www.homelessshelterdirectory.org/
How to Stay Calm During a Coronavirus Outbreak,,"Information on protecting yourself, managing anxiety, and setting realistic expectations.",COVID-19,,thriv.life/C19-StayCalm,https://www.wikihow.com/Deal-with-Coronavirus-Anxiety
How to Support Bisexual Youth,,A guide on how to support bisexual youth or young people who are attracted to more than one gender.,"LGBTQ, education",,thriv.life/SupportBiYouth,https://www.thetrevorproject.org/wp-content/uploads/2020/09/How-to-Support-Bisexual-Youth.pdf
How to Support Someone with Suicidal Thoughts,,"Thorough support information, including an instructional section toward the bottom on ""How can I help someone who is feeling suicidal?"" and resources for those in the UK.","mental health, education",UK,thriv.life/HelpSomeoneUK,https://www.rethink.org/advice-and-information/carers-hub/suicidal-thoughts-how-to-support-someone/
How to Understand Your Gender Zine,,"A short, 16-page zine and workbook on exploring gender identity.","LGBTQ, gender identity, education",,thriv.life/GenderZine,https://static1.squarespace.com/static/5e129bef7d960112ec58214f/t/5e2b88401129d962cb95ab8a/1579911235299/gender_zine.pdf
How to Use Abortion Pill,,Information on safe abortions using medication and additional abortion training and education.,"general, health, education",,thriv.life/H2UAP,https://www.howtouseabortionpill.org/
How We Feel,,"A free app (Android and iOS) on understanding emotions. It can be used to journal emotion, perform emotional check-ins, and strategize based on current feelings.","app, general, mental health",,thriv.life/HWF,https://howwefeel.org/
HRC State maps of laws and policies,,All LGBTQIA+ laws / policies broken down by state.,"LGBTQ, legal",,thriv.life/HRC-Laws,https://www.hrc.org/state-maps
HRC's LGBTQ+ Scholarship Database,,A database divided by state of scholarships for LGBTQ+ undergraduate & graduate students.,"STEMM, funding",,thriv.life/HRC-Schol,https://www.hrc.org/resources/scholarship-database
HRT Microgrants,,"Quarterly grant cycle from Folx Health. HRT Microgrants cover 1 year of HRT 100% covered or 2 years of HRT 50% covered through FOLX for trans, nonbinary, or intersex folx in need of access. 75% of microgrants reserved for BIPOC.","LGBTQ, gender identity, health, funding, Black, Indigenous",,thriv.life/HRTMicrogrant,https://www.folxhealth.com/hrt_care_fund
HRT Timelines,,A timeline of when certain changes may occur after starting hormone replacement therapy.,"LGBTQ, gender identity, health",,thriv.life/HRT-Timeline,https://www.gendergp.com/hrt-timelines-hormones-effects/
Human Rights Campaign,,Topical information and provides scores for states and county legal protection of LGBTQ+ individuals.,"LGBTQ, general",,thriv.life/HRC,https://www.hrc.org
Humane Society How to Cope With the Death of Your Pet,,"Explanations about the pet grief experience and what to do after a pet dies, with resources for coping.","mental health, coping, grief, pet",,,https://www.humanesociety.org/resources/how-cope-death-your-pet
Hutano,,A social health platform for black and brown people to discuss skin health away from traditional social media.,"Black, Indigenous, Latinx, health",,thriv.life/Hutano,https://www.tryhutano.com/
I Am Sober,,A community-based app (Android and iOS) for tracking sobriety.,"app, general, mental health",,thriv.life/IAS,https://iamsober.com/
I am not Haraam,,A tumblr blog with resources and blog posts from and by LGBTQIA+ Muslims,"LGBTQ, religion",,thriv.life/NotHaraam,https://iamnotharaam.tumblr.com/
I Need An A,,Resource for finding safe abortion access in the US provided in both English and Spanish.,"general, health",Español,thriv.life/INA,https://www.ineedana.com/
IC Race Toolkits,,"English and Spanish toolkits on topics such as surviving and resisting, fear during uncertain times for mixed-immigration status families, surviving targeted social media attacks, and surviving COVID-19.","Black, coping, COVID-19",Español,thriv.life/ICRace,https://icrace.org/our-partners/toolkits/
iChill App,,A free app (Android and iOS) that teaches resiliency-building skills for healing from trauma.,"app, general, mental health",,thriv.life/iChill,http://www.ichillapp.com/index.html
I'm Muslim And My Gender Doesn't Fit Me: A Resource For Trans Muslim Youth,,A book for transgender Muslim youth about understanding gender and religious identity.,"LGBTQ, religion",,thriv.life/MuslimGender,https://advocatesforyouth.org/wp-content/uploads/2019/05/Im-Muslim-My-Gender-Doesnt-Fit-Me.pdf
I'm Still a Person Workbook,,A free PDF workbook for addressing substance use-related stigma and using appropriate language. There is a general public version and a professional education version.,"substance use, education",,,https://www.familiesagainstnarcotics.org/stigmaworkbook
ILGA Sexual Orientation Travel Maps,,World maps that highlight different legal restrictions for LGBTQ+ people.,"LGBTQ, education",,thriv.life/ILGA-Maps,https://ilga.org/maps-sexual-orientation-laws
"ILGA World- the International Lesbian, Gay, Bixexual, Trans and Intersex Assoication",,A worldwide federation that advocates for LGBT rights and provides resources on LGBT laws and issues around the world,"LGBTQ, education",,thriv.life/ILGA,https://ilga.org/
IGLTA,,The world's leading network of LGBTQ welcoming tourism businesses that provides travel resources and information.,LGBTQ,,thriv.life/IGLTA,https://www.iglta.org/
imi,,Guides built for and by LGBTQ+ teens to help explore identity and support mental health.,"under 18, LGBTQ, mental health",,thriv.life/imi,https://imi.guide/
Immigration Equality,,"An organization that advocates for immigrants and families facing discrimination based on their sexual orientation, gender identity, or HIV status. Their website has legal help information about US immigration.","LGBTQ, legal",,thriv.life/ImmEq,https://immigrationequality.org/legal/legal-help/
Immune Deficiency Foundation,,"An organization focused on improving diagnosis and treatment, as well as supporting research and education, for those living with primary immunodeficiency.","disability, education, health",,thriv.life/ImDF,https://primaryimmune.org/
Inclusive Therapists,,"Online directory of professionals that affirm all intersectional identities and strive to be anti-discrimination, anti-oppression, anti-stigma, anti-racist & anti-ableist.","LGBTQ, health, providers",,thriv.life/IncTherapists,https://www.inclusivetherapists.com/
Incoggo,,"Universal blocker of ads, trackers, paywalls, and malware. Available for macOS and coming soon for Windows.",online safety,,thriv.life/Incoggo,https://incoggo.com/
Independence Science,,Access technology company with products for blind or low vision students. Their site has an interactive periodic table.,"STEMM, disability",,thriv.life/IndSci,https://independencescience.com/
Indian Health Service Healthcare,,"An interactive map to find Indian Health Service, Tribal or Urban Indian Health Program¬†facilities.","LGBTQ, Indigenous",,thriv.life/IHS-Healthcare,https://www.ihs.gov/findhealthcare/
Indigenous Mutual Aid Directory,,Mutual aid groups led by Indigenous people.,"Indigenous, aid",,thriv.life/IndigMA,https://www.indigenousmutualaid.org/directory/
Indian Residential School Survivors Society,,"An organization providing essential services to Residential School Survivors, their families, and those dealing with Intergenerational traumas. They operate a 24/7 crisis line for anyone experiencing pain or distress as a result of their Residential school experience.","hotline, Indigenous",Canada,thriv.life/IRSSS,https://www.irsss.ca/faqs/how-do-i-reach-the-24-hour-crisis-line
Ingersoll Gender Center Peer Support Groups,,"Free, weekly, online trans peer-led support groups with intersectional and identity-based group offerings.","LGBTQ, gender identity, support",,,https://ingersollgendercenter.org/what-we-do/support-group/
Inno Psych,,A platform for people with racially minoritized identities to find therapists of color.,"PoC, mental health, support, providers",,thriv.life/InnoPsych,https://www.innopsych.com/findatherapist
Insight Timer,,"Free meditation app (Android and iOS) for sleep, anxiety, and stress. Also has free yoga courses.","mental health, coping, app",,thriv.life/InsightTimer,https://insighttimer.com/
Integral Care,"<a href=""tel:+1512-472-4357"">512.472.HELP (4357)</a>",A 24/7 mental health hotline with crisis support. ,"hotline, mental health",,thriv.life/IntegralCare,https://integralcare.org/en/247-crisis-helpline/
InterACT: Advocates for Intersex Youth,,Organization that advocates for intersex youth and provides resources for intersex people.,"LGBTQ, education",,thriv.life/InterACT,https://interactadvocates.org/
Interactive Self-Care Guide,,"An interactive flow chart for people who struggle with self care, executive dysfunction, and/or who have trouble reading internal signals.","mental health, coping",,thriv.life/IntSelfCare,https://philome.la/jace_harr/you-feel-like-shit-an-interactive-self-care-guide/play/index.html
International Association for Premenstrual Disorders,,"Support, information, and resources for women and AFAB individuals with Premenstrual Dysphoric Disorder (PMDD) and Premenstrual Exacerbation (PME).","disability, health",,thriv.life/IAPMD,https://iapmd.org/
International Bipolar Foundation,,Provides resources about bipolar disorder.,mental health,,thriv.life/IntBipolar,https://ibpf.org/
International OCD Foundation Apps List,,"A list of mobile apps for managing OCD that have been scored for credibility, data transparency, cost, and availability.","mental health, coping, app",,thriv.life/IntOCD-Apps,https://iocdf.org/ocd-apps/
International Refugee Assistance Project (IRAP) ,,The International Refugee Assistance Project (IRAP) provides free legal help to some refugees and displaced people. ,legal,,thriv.life/IRAP,https://refugeerights.org/
Interpersonal Effectiveness in Dialectical Behavior Therapy,,"Information on better interpersonal communication skils, including DEAR MAN, GIVE, and FAST methods.","general, mental health",,thriv.life/DBT-Interpers,https://www.goodtherapy.org/blog/interpersonal-effectiveness-dialectical-behavior-therapy-dbt-0416134
isurvive.org,,Resources and forums for adult survivors of childhood abuse and their loved ones.,"abuse, support",,thriv.life/ISurvive,http://isurvive.org/
It Gets Better Resource List,,Over 1100 organizations in 40+ countries supporting the LGBTQ+ community.,"LGBTQ, general",interational,thriv.life/IGB-Res,https://itgetsbetter.org/get-help/
It's Going Down,,"List of mutual aid groups across US, often as a response to COVID-19 but not exclusively.","COVID-19, aid",,thriv.life/IGD-Mutual,https://itsgoingdown.org/c19-mutual-aid/
Jails to Jobs,,"Resources to help formerly incarcerated folks find employment, including a directory of low-cost tattoo removal services and accessing free interview clothing.","general, career",,thriv.life/J2J,https://jailstojobs.org/
James Madison University Chemistry REU,,"An REU program that integrates Deaf, hearing, and sign language interpreting students in chemical research.","STEMM, education, disability, career",,thriv.life/JMU-REU,https://www.jmu.edu/chemistry/reu/
Just Delete Me,,A directory of direct links for deleting online accounts.,"general, online safety",,thriv.life/JDM,http://justdelete.me/
Jim Collins Foundation,,Annual grants for gender affirming surgery.,"LGBTQ, gender identity, funding",,thiv.life/JimCF,https://jimcollinsfoundation.org/apply/
Job Accommodation Network,,Example ADA accomodations and resources for a more accessible workplace.,"disability, career",,thriv.life/JAN,https://askjan.org/
JQ Helpline,"<a href=""tel:+1855-574-4577"">1.855.JQI.HLPS (574.4577)</a>","A helpline specifically designed to serve LGBTQ Jews, their families, and allies.","LGBTQ, hotline, religion",,thriv.life/JQI,https://jqinternational.org/helpline/
Keshet,,Organization for LGBTQ+ equality in Jewish life.,"LGBTQ, religion",,thriv.life/Keshet,https://www.keshetonline.org/
KeshetUK,,Organization for LGBTQ+ equality in Jewish life in the UK.,"LGBTQ, religion",UK,thriv.life/KeshetUK,https://www.keshetuk.org/
Khan Academy,,"A gamified site with high-quality educational videos for a variety of courses. Also offers test-prep resources for the LSAT, Praxis, and MCAT. ","STEMM, education",,thriv.life/KhanAcad,https://www.khanacademy.org/
Kids Help Phone,"<a href=""tel:1-800-668-6868"">1.800.668.6868</a> or text CONNECT to <a href=""sms://686868?&body=CONNECT"">686-868</a>","A 24/7 hotline in English and French for youth, teens, and young adults across Canada.","under 18, hotline",Canada,thriv.life/KHP,https://kidshelpphone.ca/
Kindness,,"A non-profit built around educating and inspiring people to choose kindness, with different suggestions on how to be kind.","mental health, coping",,thriv.life/Kindness,https://acts.kindness.org/initiatives
Kinship,,"A safe spiritual and social community to former and current lesbian, gay, bisexual, transgender, and intersex Seventh-day Adventists, their families, and those who support them.","LGBTQ, religion",,thriv.life/Kinship,https://www.sdakinship.org/
Kiva Centers Groups,,"Free, weekly online peer support groups focused on peer-led trauma-informed healing. There are specific groups for the BIPOC community and people living with chronic illness(es).","Black, disability, Indigenous, LGBTQ, mental health, PoC, support",,thriv.life/KivaGroups,https://kivagroups.carrd.co/
Krisp AI,,A tool for removing background noise from audio on conference calls. There is a free plan and clearly marked paid options.,"disability, support",,thriv.life/Krisp,https://krisp.ai/
Lambda Legal,,Provides information about legal rights for LGBTQIA+ people and their families on a national and state-by-state basis.,"LGBTQ, legal",,thriv.life/LL,https://www.lambdalegal.org
Lasagna Love,,A global nonprofit and grassroots movement that aims to positively impact communities by connecting neighbors with neighbors through homemade meal delivery.,food,,,https://lasagnalove.org/request-a-meal/
Latinx Therapy,,"Directory of Latinx therapists with  options to search by cultural identity, specialty, and accepted insurance.","Latinx, mental health, providers",,thriv.life/LatinxTherapy,https://latinxtherapy.com/find-a-therapist/
LD Resources Foundation,,"A non-profit that helps find solutions to those who are affected by specific learning disabilities, Dyslexia and ADHD.","disability, support",,thriv.life/LDRFA,https://www.ldrfa.org/
Leaving an Abusive Relationship,,Information from the US Office on Women's Health on the things to consider when fleeing an abusive relationship or domestic violence. Includes a list of important items to pack.,"general, abuse",,thriv.life/LeavingAbuse,https://www.womenshealth.gov/relationships-and-safety/domestic-violence/leaving-abusive-relationship
Learning Ally,,"Subscription-based audiobooks for people with documented print disabilities (e.g., learning, visual). Fees are clearly marked on their site.","disability, STEMM, education",,thriv.life/LearningAlly,https://learningally.org/Solutions-for-Home/College-Adults/Join
"Lesbian, Gay, Bisexual and Transgender Foreign Travel Advice",,Resources and advice for LGBT tourists travelling abroad by the UK government,LGBTQ,UK,thriv.life/LGBT-Travel,https://www.gov.uk/guidance/lesbian-gay-bisexual-and-transgender-foreign-travel-advice
Let‚Äôs Talk About It: A Transgender Survivor‚Äôs Guide to Accessing Therapy,,"A guide for transgender and non-binary survivors of abuse, assault, and trauma seeking therapy. Different therapeutic options are discussed.","abuse, LGBTQ, gender identity, mental health",,thriv.life/TSG,https://forge-forward.org/wp-content/uploads/2020/08/Lets-Talk-Therapist-Guide.pdf
Liberate App,,A daily meditation app by and for Black people. Liberate is free on Android and iOS and offers a premium subscription service with prices listed on their site.,"app, Black, coping, mental health",,thriv.life/Liberate-App,https://liberatemeditation.com/
Liberating Jasper,,Resource with weekly virtual eating disorder support groups for queer and BIPOC people at sliding scale cost ($5 - $20).,"LGBTQ, mental health, Black, Indigenous, PoC, disordered eating",,thriv.life/Lib-Jasper,https://www.liberatingjasper.com/offerings
Lifeline for Vets,"<a href=""tel:+1888-777-4443"">1.888.777.4443</a>",Provides a vet-to-vet helpline for veterans and their families.,"hotline, veteran",,thriv.life/VetLL,https://nvf.org/lifeline-for-vets/
Living With Change,,"A moderated, virtual support group for transgender teens (ages 13-19).","under 18, LGBTQ, gender identity, support",,thriv.life/LWC,http://livingwithchange.org/virtual-support-group/
Living with Dissociative Identity Disorder,,A private facebook support group for people with DID / OSDD (diagnosed or not) tht is LGBTQ+ friendly and has a body age limit of 18 or older.,"mental health, coping, LGBTQ",,thriv.life/LwDID-FB,https://www.facebook.com/groups/LivingWithDID/
LivingWorks,,Organization that provides evidence-based training on mental health and suicide prevention.,"mental health, education",,thriv.life/LivingWorks,https://www.livingworks.net/
